x,y
1.1237019642187478e-13,4.1802896616165297e-38
1.0154999998111105,2.177928931785306e-10
2.035499999760003,9.898997256769243e-10
3.0554999996188354,2.452747468202735e-09
4.075499580903869,-0.000414922021366897
5.095446608011552,-0.010191085639038769
6.115244221462705,-0.03035300865972416
7.134867444311499,-0.05800575832295408
8.153938025775005,-0.10106489174911441
9.17196110024084,-0.16423666238959583
10.187127693497922,-0.26263688140560887
11.198133450510444,-0.3975004080079766
12.20536809628067,-0.5582432927203999
13.209391500619052,-0.737986548929066
14.209164857886003,-0.9400051004612925
15.20501422666422,-1.1606017898323608
16.197858927322635,-1.394372398116565
17.188458236439445,-1.6374929206400666
18.177405486021172,-1.8872539915033526
19.165149681189657,-2.141733882117104
20.152023880208887,-2.399568346974402
21.13827194235219,-2.6597882604460508
22.124070869386163,-2.921704840469683
23.109548375115267,-3.1848283746865724
24.094796233057064,-3.4488105939976976
25.079880202334866,-3.713403772335108
26.064847307485035,-3.9784316763358856
27.0497311284768,-4.243768920495351
28.034555620699,-4.509326289962333
29.019337861472245,-4.775040302992019
30.00409001879106,-5.0408657868722875
30.988820759561555,-5.306770596515843
31.97353625541043,-5.572731856928822
32.95824090031046,-5.838733289662563
33.94293782221151,-6.104763310436458
34.92762924761396,-6.370813675440224
35.91231676125702,-6.636878518040504
36.89700149104596,-6.902953663286255
37.88168423970705,-7.169036140091162
38.866365578550834,-7.435123834097642
39.851045914162725,-7.701215240628108
40.83572553589504,-7.96730928888156
41.820404649669285,-8.233405216824403
42.80508340203179,-8.499502482156597
43.7897618972729,-8.765600698950998
44.774440209611534,-9.031699592563001
45.75911839186563,-9.297798967542041
46.74379648162341,-9.56389868479593
47.72847450563449,-9.829998645339856
48.71315248293515,-10.096098778731315
49.69783042707249,-10.362199034839964
50.68250834770019,-10.628299377994022
51.66718625167287,-10.894399782803573
52.65186414386675,-11.160500231199421
53.63654202773838,-11.42660071031891
54.62121990578414,-11.692701211018283
55.6058977797672,-11.958801726786675
56.59057565093184,-12.224902252987835
57.57525352015782,-12.491002786320848
58.55993138808421,-12.757103324440106
59.544609255168275,-13.023203865677045
60.529287121731016,-13.289304408843021
61.513964988001085,-13.555404953092198
62.49864285414107,-13.821505497822606
63.48332072026677,-14.087606042605863
64.46799858646055,-14.35370658713714
65.45267645278112,-14.619807131199464
66.43735431927011,-14.88590767463847
67.42203218595724,-15.15200821734427
68.40671005286362,-15.418108759238661
69.39138792000462,-15.684209300266108
70.37606578743748,-15.950309840399608
71.3607436550765,-16.216410379585735
72.34542152294377,-16.482510917808977
73.33009939107257,-16.74861145506295
74.31477725949459,-17.014711991345386
75.2994551281841,-17.280812526641547
76.28413299714164,-17.546913060946036
77.26881086636814,-17.81301359425519
78.25348873586539,-18.079114126566687
79.23816660563324,-18.345214657878508
80.22284447567161,-18.611315188189213
81.20752234598076,-18.87741571749787
82.19220021656092,-19.1435162458038
83.17687808741216,-19.409616773106535
84.16155595853459,-19.675717299405733
85.14623382993786,-19.94181782470374
86.13091170161742,-20.207918348999193
87.11558957356829,-20.47401887229082
88.10026744571346,-20.740119394557748
89.0849453182098,-21.00621991584231
90.06962319097752,-21.272320436122826
91.05430106400067,-21.538420955394926
92.03897893723367,-21.804521473646226
93.02365681078952,-22.07062199090718
94.00833468462439,-22.336722507165916
94.99301255873152,-22.60282302242058
95.97769043311007,-22.86892353667092
96.96236830776003,-23.135024049916918
97.9470461826814,-23.401124562158568
98.9317240578742,-23.667225073395873
99.91640193333842,-23.933325583628807
100.90107980907405,-24.199426092857372
101.88575768508109,-24.465526601081574
102.87043556135954,-24.731627108301392
103.85511343801912,-24.997727614546488
104.83979131485894,-25.26382811976264
105.82446919189913,-25.529928623955303
106.80914706917524,-25.796029127134084
107.79382494680306,-26.06212962933024
108.77850282470706,-26.32823013052332
109.76337898599428,-26.59359241685726
110.75152769371812,-26.846456136395204
111.74301407325692,-27.085921337291268
112.73676396044941,-27.315824581126687
113.73206795520224,-27.53890997177667
114.72844916265194,-27.757137004316
115.7255823836795,-27.97190339906148
116.72324338321796,-28.18420544252083
117.72127623070709,-28.39475293541014
